Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,118593865.79698122,118593865.79698122,0.0,0.0 
 01/21  02:00:00,118701865.7969812,118701865.7969812,0.0,0.0 
 01/21  03:00:00,118809865.7969812,118809865.7969812,0.0,0.0 
 01/21  04:00:00,118809865.7969812,118809865.7969812,0.0,0.0 
 01/21  05:00:00,118773865.79698122,118773865.79698122,0.0,0.0 
 01/21  06:00:00,118737865.79698122,118737865.79698122,0.0,0.0 
 01/21  07:00:00,128558125.79698117,128558125.79698117,0.0,0.0 
 01/21  08:00:00,123809275.79698117,123809275.79698117,0.0,0.0 
 01/21  09:00:00,109886725.79698122,109886725.79698122,0.0,0.0 
 01/21  10:00:00,109670725.79698122,109670725.79698122,0.0,0.0 
 01/21  11:00:00,109886725.79698122,109886725.79698122,0.0,0.0 
 01/21  12:00:00,109886725.79698122,109886725.79698122,0.0,0.0 
 01/21  13:00:00,109670725.79698122,109670725.79698122,0.0,0.0 
 01/21  14:00:00,109886725.79698122,109886725.79698122,0.0,0.0 
 01/21  15:00:00,109886725.79698122,109886725.79698122,0.0,0.0 
 01/21  16:00:00,109670725.79698122,109670725.79698122,0.0,0.0 
 01/21  17:00:00,109886725.79698122,109886725.79698122,0.0,0.0 
 01/21  18:00:00,112400245.79698122,112400245.79698122,0.0,0.0 
 01/21  19:00:00,129386125.79698117,129386125.79698117,0.0,0.0 
 01/21  20:00:00,121319245.7969812,121319245.79698117,0.0,0.0 
 01/21  21:00:00,121355245.7969812,121355245.79698117,0.0,0.0 
 01/21  22:00:00,121355245.7969812,121355245.79698117,0.0,0.0 
 01/21  23:00:00,121391245.7969812,121391245.79698117,0.0,0.0 
 01/21  24:00:00,121175245.7969812,121175245.79698117,0.0,0.0 
 07/21  01:00:00,524588952.2496431,524588952.2496431,152517470.7542746,224813060.55296675 
 07/21  02:00:00,526763061.70431759,526763061.70431759,152517470.7542746,224813060.55296675 
 07/21  03:00:00,527105061.70431759,527105061.70431759,152517470.7542746,224813060.55296675 
 07/21  04:00:00,527213061.70431759,527213061.70431759,152517470.7542746,224813060.55296675 
 07/21  05:00:00,527345061.70431759,527345061.70431759,152517470.7542746,224813060.55296675 
 07/21  06:00:00,525152657.46271857,525152657.46271857,152399851.51267544,224813060.55296675 
 07/21  07:00:00,492405617.5909869,492405617.5909869,129723979.24717574,224813060.55296675 
 07/21  08:00:00,485668868.49976739,485668868.49976739,120394417.54972403,224813060.55296675 
 07/21  09:00:00,467583948.1110862,467583948.1110862,119991185.40467149,224813060.55296675 
 07/21  10:00:00,466350541.80796989,466350541.80796989,119991185.40467149,224813060.55296675 
 07/21  11:00:00,466350541.80796989,466350541.80796989,119991185.40467149,224813060.55296675 
 07/21  12:00:00,466350541.80796989,466350541.80796989,119991185.40467149,224813060.55296675 
 07/21  13:00:00,466350541.80796989,466350541.80796989,119991185.40467149,224813060.55296675 
 07/21  14:00:00,466350541.80796989,466350541.80796989,119991185.40467149,224813060.55296675 
 07/21  15:00:00,466404541.80796989,466404541.80796989,119991185.40467149,224813060.55296675 
 07/21  16:00:00,466380541.80796989,466380541.80796989,119991185.40467149,224813060.55296675 
 07/21  17:00:00,466392541.80796989,466392541.80796989,119991185.40467149,224813060.55296675 
